frame_index,ball_x,ball_y,dx,dy,distance_from_center
727,73,74,9,10,13.45362404707371
728,73,75,9,11,14.212670403551895
729,73,75,9,11,14.212670403551895
730,73,76,9,12,15.0
731,73,76,9,12,15.0
732,73,76,9,12,15.0
733,73,77,9,13,15.811388300841896
734,73,78,9,14,16.64331697709324
735,73,79,9,15,17.4928556845359
736,73,80,9,16,18.35755975068582
737,73,80,9,16,18.35755975068582
738,73,80,9,16,18.35755975068582
739,73,81,9,17,19.235384061671343
740,73,82,9,18,20.12461179749811
741,73,83,9,19,21.02379604162864
742,74,83,10,19,21.470910553583888
743,74,83,10,19,21.470910553583888
744,74,83,10,19,21.470910553583888
745,74,84,10,20,22.360679774997898
746,74,84,10,20,22.360679774997898
747,75,84,11,20,22.825424421026653
748,75,85,11,21,23.706539182259394
749,75,85,11,21,23.706539182259394
750,75,85,11,21,23.706539182259394
751,75,85,11,21,23.706539182259394
752,76,85,12,21,24.186773244895647
753,75,84,11,20,22.825424421026653
754,75,84,11,20,22.825424421026653
755,75,84,11,20,22.825424421026653
756,76,83,12,19,22.47220505424423
757,75,83,11,19,21.95449840010015
758,75,82,11,18,21.095023109728988
759,75,81,11,17,20.248456731316587
760,76,80,12,16,20.0
761,76,79,12,15,19.209372712298546
762,76,79,12,15,19.209372712298546
763,76,78,12,14,18.439088914585774
764,77,78,13,14,19.1049731745428
765,77,77,13,13,18.384776310850235
766,77,77,13,13,18.384776310850235
767,77,77,13,13,18.384776310850235
768,78,76,14,12,18.439088914585774
769,78,76,14,12,18.439088914585774
770,78,76,14,12,18.439088914585774
771,78,76,14,12,18.439088914585774
772,78,76,14,12,18.439088914585774
773,79,76,15,12,19.209372712298546
774,78,76,14,12,18.439088914585774
775,78,76,14,12,18.439088914585774
776,78,76,14,12,18.439088914585774
777,78,77,14,13,19.1049731745428
778,78,77,14,13,19.1049731745428
779,78,77,14,13,19.1049731745428
780,78,77,14,13,19.1049731745428
781,78,78,14,14,19.79898987322333
782,77,78,13,14,19.1049731745428
783,77,79,13,15,19.849433241279208
784,77,79,13,15,19.849433241279208
785,76,79,12,15,19.209372712298546
786,76,79,12,15,19.209372712298546
787,76,80,12,16,20.0
788,76,81,12,17,20.808652046684813
789,75,81,11,17,20.248456731316587
790,75,81,11,17,20.248456731316587
791,75,81,11,17,20.248456731316587
792,75,82,11,18,21.095023109728988
793,74,82,10,18,20.591260281974
794,74,81,10,17,19.72308292331602
795,74,81,10,17,19.72308292331602
796,73,81,9,17,19.235384061671343
797,73,81,9,17,19.235384061671343
798,73,81,9,17,19.235384061671343
799,73,80,9,16,18.35755975068582
800,32,126,-32,62,69.77105417004964
801,32,125,-32,61,68.8839603971781
802,32,124,-32,60,68.0
803,31,123,-33,59,67.60177512462228
804,72,78,8,14,16.1245154965971
805,72,77,8,13,15.264337522473747
806,31,120,-33,56,65.0
807,30,119,-34,55,64.66065264130884
808,29,118,-35,54,64.35060217278468
809,31,117,-33,53,62.433965115151864
810,31,116,-33,52,61.587336360651285
811,28,115,-36,51,62.42595614005443
812,74,74,10,10,14.142135623730951
813,28,113,-36,49,60.802960454241045
814,28,112,-36,48,60.0
815,92,115,28,51,58.180752831155424
816,64,115,0,51,51.0
817,64,115,0,51,51.0
818,28,111,-36,47,59.20304046246274
819,28,111,-36,47,59.20304046246274
820,27,110,-37,46,59.033888572581766
821,27,110,-37,46,59.033888572581766
822,26,110,-38,46,59.665735560705194
823,26,110,-38,46,59.665735560705194
824,26,110,-38,46,59.665735560705194
825,26,110,-38,46,59.665735560705194
826,27,111,-37,47,59.81638571495272
827,78,81,14,17,22.02271554554524
828,26,111,-38,47,60.440052945046304
829,24,111,-40,47,61.71709649683789
830,25,112,-39,48,61.84658438426491
831,79,85,15,21,25.80697580112788
832,89,117,25,53,58.60034129593445
833,24,112,-40,48,62.48199740725323
834,23,112,-41,48,63.12685640834652
835,79,88,15,24,28.30194339616981
836,86,117,22,53,57.38466694161429
837,21,111,-43,47,63.702433234531945
838,79,88,15,24,28.30194339616981
839,85,115,21,51,55.154328932550705
840,20,108,-44,44,62.22539674441618
841,84,113,20,49,52.92447448959697
842,17,105,-47,41,62.369864518050704
843,79,85,15,21,25.80697580112788
844,17,102,-47,38,60.440052945046304
845,45,105,-19,41,45.18849411078001
846,17,99,-47,35,58.60034129593445
847,80,81,16,17,23.345235059857504
848,15,96,-49,32,58.52349955359813
849,83,102,19,38,42.485291572496
850,13,93,-51,29,58.66856057549052
851,105,99,41,35,53.907327887774215
852,16,91,-48,27,55.072679252057455
853,15,90,-49,26,55.47071299343465
854,87,78,23,14,26.92582403567252
855,61,77,-3,13,13.341664064126334
856,85,78,21,14,25.238858928247925
857,80,76,16,12,20.0
858,59,76,-5,12,13.0
859,58,76,-6,12,13.416407864998739
860,80,77,16,13,20.615528128088304
861,57,75,-7,11,13.038404810405298
862,56,74,-8,10,12.806248474865697
863,80,77,16,13,20.615528128088304
864,80,76,16,12,20.0
865,78,74,14,10,17.204650534085253
866,79,73,15,9,17.4928556845359
867,53,69,-11,5,12.083045973594572
868,52,68,-12,4,12.649110640673518
869,79,74,15,10,18.027756377319946
870,50,66,-14,2,14.142135623730951
871,75,67,11,3,11.40175425099138
872,78,74,14,10,17.204650534085253
873,49,64,-15,0,15.0
874,73,65,9,1,9.055385138137417
875,78,75,14,11,17.804493814764857
876,77,75,13,11,17.029386365926403
877,72,64,8,0,8.0
